FECHA;DEMANDA_GBA;TEMP_AVG;TIPO_DIA
2022-12-16;136367;20.64;H
2022-12-17;120630;21.81;SA
2022-12-18;116259;23.46;D
2022-12-19;151808;24.84;H
2022-12-20;152247;25.78;F
2022-12-21;165844;25.43;H
2022-12-22;174618;26.6;H
2022-12-23;163365;24.56;H
2022-12-24;117574;19.95;SA
2022-12-25;93491;19.05;F
2022-12-26;127863;22.9;H
2022-12-27;149865;25.8;H
2022-12-28;155297;26.12;H
2022-12-29;148554;24.37;H
2022-12-30;168223;29.13;H
2022-12-31;148330;26.32;SA
2023-01-01;111385;22.87;F
2023-01-02;127810;23.38;H
2023-01-03;144275;26.01;H
2023-01-04;146613;24.26;H
2023-01-05;152966;26.33;H
2023-01-06;170428;28.02;H
2023-01-07;154886;27.07;SA
2023-01-08;148060;26.59;D
2023-01-09;169224;26.52;H
2023-01-10;176281;27.01;H
2023-01-11;161136;25.48;H
2023-01-12;146913;23.96;H
2023-01-13;149273;25.6;H
2023-01-14;143467;26.83;SA
2023-01-15;151226;28.42;D
2023-01-16;190108;29.96;H
2023-01-17;195852;29.78;H
2023-01-18;179515;26.41;H
2023-01-19;185245;27.85;H
2023-01-20;179854;26.94;H
2023-01-21;148484;25.62;SA
2023-01-22;149105;27.47;D
2023-01-23;175343;27.23;H
2023-01-24;182878;28.72;H
2023-01-25;184487;27.27;H
2023-01-26;189788;28.18;H
2023-01-27;162170;24.45;H
2023-01-28;149889;25.76;SA
2023-01-29;142223;25.99;D
2023-01-30;162480;25.54;H
2023-01-31;179034;26.55;H
2023-02-01;167781;25.44;H
2023-02-02;153624;24.16;H
2023-02-03;143928;23.19;H
2023-02-04;127435;23.69;SA
2023-02-05;131260;25.31;D
2023-02-06;174707;28.36;H
2023-02-07;196726;29.28;H
2023-02-08;188716;28.24;H
2023-02-09;195453;28.77;H
2023-02-10;207621;30.45;H
2023-02-11;200835;32.1;SA
2023-02-12;202097;33.48;D
2023-02-13;196067;27.76;H
2023-02-14;185806;27.61;H
2023-02-15;171952;25.37;H
2023-02-16;147986;21.34;H
2023-02-17;119971;12.09;H
2023-02-18;109360;16.05;SA
2023-02-19;99947;20.78;D
2023-02-20;106354;22.23;F
2023-02-21;119922;24.4;F
2023-02-22;157655;27.04;H
2023-02-23;165946;26.25;H
2023-02-24;169244;26.16;H
2023-02-25;151865;25.62;SA
2023-02-26;126889;23.37;D
2023-02-27;152152;25;H
2023-02-28;188321;28.93;H
2023-03-01;198522;31.07;H
2023-03-02;216460;31.11;H
2023-03-03;218510;30.28;H
2023-03-04;192501;28.67;SA
2023-03-05;171897;27.48;D
2023-03-06;205518;29.11;H
2023-03-07;199324;27.53;H
2023-03-08;205353;28.08;H
2023-03-09;199352;27.93;H
2023-03-10;215931;30.67;H
2023-03-11;211778;32.49;SA
2023-03-12;206977;31.86;D
2023-03-13;227195;30.48;H
2023-03-14;230094;31.45;H
2023-03-15;210113;27.99;H
2023-03-16;200077;27.53;H
2023-03-17;206023;28.74;H
2023-03-18;176251;26.66;SA
2023-03-19;165529;27.53;D
2023-03-20;146975;22.6;H
2023-03-21;136525;23.3;H
2023-03-22;134736;23.32;H
2023-03-23;148686;24.94;H
2023-03-24;131790;23.85;F
2023-03-25;128926;23.75;SA
2023-03-26;106478;19.49;D
2023-03-27;125913;21.63;H
2023-03-28;141947;25.29;H
2023-03-29;139907;23.11;H
2023-03-30;127423;19.59;H
2023-03-31;125403;20.13;H
2023-04-01;110729;16.03;SA
2023-04-02;103561;18.62;F
2023-04-03;123041;18.75;H
2023-04-04;126771;19.22;H
2023-04-05;127566;21.58;H
2023-04-06;122852;21.68;SA
2023-04-07;110425;21.82;F
2023-04-08;109461;21.94;SA
2023-04-09;105565;22.3;D
2023-04-10;129449;22.14;H
2023-04-11;137981;24.23;H
2023-04-12;128890;18.55;H
2023-04-13;126004;15.11;H
2023-04-14;128328;14.86;H
2023-04-15;116895;17.2;SA
2023-04-16;110102;16.12;D
2023-04-17;127463;16.43;H
2023-04-18;139216;13.38;H
2023-04-19;144113;14.53;H
2023-04-20;141320;14.62;H
2023-04-21;135940;17.3;H
2023-04-22;119506;18.09;SA
2023-04-23;110295;18.68;D
2023-04-24;126827;18.82;H
2023-04-25;129163;19.3;H
2023-04-26;130227;18.85;H
2023-04-27;128961;18.94;H
2023-04-28;127306;20.42;H
2023-04-29;113907;21.27;SA
2023-04-30;105968;20.35;D
2023-05-01;107864;14.36;F
2023-05-02;135848;13.72;H
2023-05-03;143550;13.73;H
2023-05-04;140878;15.78;H
2023-05-05;136427;18.02;H
2023-05-06;123437;18.44;SA
2023-05-07;113500;17.83;D
